[30.116622, -97.768810000000002]	[30.12630458974359, -97.768810000000002]	[30.135987179487181, -97.768810000000002]	[30.145669769230768, -97.768810000000002]	[30.155352358974358, -97.768810000000002]	[30.165034948717949, -97.768810000000002]	[30.17471753846154, -97.768810000000002]	[30.184400128205127, -97.768810000000002]	[30.194082717948717, -97.768810000000002]	[30.203765307692308, -97.768810000000002]	[30.213447897435898, -97.768810000000002]	[30.223130487179485, -97.768810000000002]	[30.232813076923076, -97.768810000000002]	[30.242495666666667, -97.768810000000002]	[30.252178256410257, -97.768810000000002]	[30.261860846153848, -97.768810000000002]	[30.271543435897435, -97.768810000000002]	[30.281226025641026, -97.768810000000002]	[30.290908615384616, -97.768810000000002]	[30.300591205128207, -97.768810000000002]	[30.310273794871794, -97.768810000000002]	[30.319956384615384, -97.768810000000002]	[30.329638974358975, -97.768810000000002]	[30.339321564102566, -97.768810000000002]	[30.349004153846153, -97.768810000000002]	[30.358686743589743, -97.768810000000002]	[30.368369333333334, -97.768810000000002]	[30.378051923076924, -97.768810000000002]	[30.387734512820515, -97.768810000000002]	[30.397417102564102, -97.768810000000002]	[30.407099692307693, -97.768810000000002]	[30.416782282051283, -97.768810000000002]	[30.426464871794874, -97.768810000000002]	[30.436147461538461, -97.768810000000002]	[30.445830051282051, -97.768810000000002]	[30.455512641025642, -97.768810000000002]	[30.465195230769233, -97.768810000000002]	[30.47487782051282, -97.768810000000002]	[30.48456041025641, -97.768810000000002]	[30.494243000000001, -97.768810000000002]
[30.116622, -97.760147717948726]	[30.12630458974359, -97.760147717948726]	[30.135987179487181, -97.760147717948726]	[30.145669769230768, -97.760147717948726]	[30.155352358974358, -97.760147717948726]	[30.165034948717949, -97.760147717948726]	[30.17471753846154, -97.760147717948726]	[30.184400128205127, -97.760147717948726]	[30.194082717948717, -97.760147717948726]	[30.203765307692308, -97.760147717948726]	[30.213447897435898, -97.760147717948726]	[30.223130487179485, -97.760147717948726]	[30.232813076923076, -97.760147717948726]	[30.242495666666667, -97.760147717948726]	[30.252178256410257, -97.760147717948726]	[30.261860846153848, -97.760147717948726]	[30.271543435897435, -97.760147717948726]	[30.281226025641026, -97.760147717948726]	[30.290908615384616, -97.760147717948726]	[30.300591205128207, -97.760147717948726]	[30.310273794871794, -97.760147717948726]	[30.319956384615384, -97.760147717948726]	[30.329638974358975, -97.760147717948726]	[30.339321564102566, -97.760147717948726]	[30.349004153846153, -97.760147717948726]	[30.358686743589743, -97.760147717948726]	[30.368369333333334, -97.760147717948726]	[30.378051923076924, -97.760147717948726]	[30.387734512820515, -97.760147717948726]	[30.397417102564102, -97.760147717948726]	[30.407099692307693, -97.760147717948726]	[30.416782282051283, -97.760147717948726]	[30.426464871794874, -97.760147717948726]	[30.436147461538461, -97.760147717948726]	[30.445830051282051, -97.760147717948726]	[30.455512641025642, -97.760147717948726]	[30.465195230769233, -97.760147717948726]	[30.47487782051282, -97.760147717948726]	[30.48456041025641, -97.760147717948726]	[30.494243000000001, -97.760147717948726]
[30.116622, -97.751485435897436]	[30.12630458974359, -97.751485435897436]	[30.135987179487181, -97.751485435897436]	[30.145669769230768, -97.751485435897436]	[30.155352358974358, -97.751485435897436]	[30.165034948717949, -97.751485435897436]	[30.17471753846154, -97.751485435897436]	[30.184400128205127, -97.751485435897436]	[30.194082717948717, -97.751485435897436]	[30.203765307692308, -97.751485435897436]	[30.213447897435898, -97.751485435897436]	[30.223130487179485, -97.751485435897436]	[30.232813076923076, -97.751485435897436]	[30.242495666666667, -97.751485435897436]	[30.252178256410257, -97.751485435897436]	[30.261860846153848, -97.751485435897436]	[30.271543435897435, -97.751485435897436]	[30.281226025641026, -97.751485435897436]	[30.290908615384616, -97.751485435897436]	[30.300591205128207, -97.751485435897436]	[30.310273794871794, -97.751485435897436]	[30.319956384615384, -97.751485435897436]	[30.329638974358975, -97.751485435897436]	[30.339321564102566, -97.751485435897436]	[30.349004153846153, -97.751485435897436]	[30.358686743589743, -97.751485435897436]	[30.368369333333334, -97.751485435897436]	[30.378051923076924, -97.751485435897436]	[30.387734512820515, -97.751485435897436]	[30.397417102564102, -97.751485435897436]	[30.407099692307693, -97.751485435897436]	[30.416782282051283, -97.751485435897436]	[30.426464871794874, -97.751485435897436]	[30.436147461538461, -97.751485435897436]	[30.445830051282051, -97.751485435897436]	[30.455512641025642, -97.751485435897436]	[30.465195230769233, -97.751485435897436]	[30.47487782051282, -97.751485435897436]	[30.48456041025641, -97.751485435897436]	[30.494243000000001, -97.751485435897436]
[30.116622, -97.74282315384616]	[30.12630458974359, -97.74282315384616]	[30.135987179487181, -97.74282315384616]	[30.145669769230768, -97.74282315384616]	[30.155352358974358, -97.74282315384616]	[30.165034948717949, -97.74282315384616]	[30.17471753846154, -97.74282315384616]	[30.184400128205127, -97.74282315384616]	[30.194082717948717, -97.74282315384616]	[30.203765307692308, -97.74282315384616]	[30.213447897435898, -97.74282315384616]	[30.223130487179485, -97.74282315384616]	[30.232813076923076, -97.74282315384616]	[30.242495666666667, -97.74282315384616]	[30.252178256410257, -97.74282315384616]	[30.261860846153848, -97.74282315384616]	[30.271543435897435, -97.74282315384616]	[30.281226025641026, -97.74282315384616]	[30.290908615384616, -97.74282315384616]	[30.300591205128207, -97.74282315384616]	[30.310273794871794, -97.74282315384616]	[30.319956384615384, -97.74282315384616]	[30.329638974358975, -97.74282315384616]	[30.339321564102566, -97.74282315384616]	[30.349004153846153, -97.74282315384616]	[30.358686743589743, -97.74282315384616]	[30.368369333333334, -97.74282315384616]	[30.378051923076924, -97.74282315384616]	[30.387734512820515, -97.74282315384616]	[30.397417102564102, -97.74282315384616]	[30.407099692307693, -97.74282315384616]	[30.416782282051283, -97.74282315384616]	[30.426464871794874, -97.74282315384616]	[30.436147461538461, -97.74282315384616]	[30.445830051282051, -97.74282315384616]	[30.455512641025642, -97.74282315384616]	[30.465195230769233, -97.74282315384616]	[30.47487782051282, -97.74282315384616]	[30.48456041025641, -97.74282315384616]	[30.494243000000001, -97.74282315384616]
[30.116622, -97.73416087179487]	[30.12630458974359, -97.73416087179487]	[30.135987179487181, -97.73416087179487]	[30.145669769230768, -97.73416087179487]	[30.155352358974358, -97.73416087179487]	[30.165034948717949, -97.73416087179487]	[30.17471753846154, -97.73416087179487]	[30.184400128205127, -97.73416087179487]	[30.194082717948717, -97.73416087179487]	[30.203765307692308, -97.73416087179487]	[30.213447897435898, -97.73416087179487]	[30.223130487179485, -97.73416087179487]	[30.232813076923076, -97.73416087179487]	[30.242495666666667, -97.73416087179487]	[30.252178256410257, -97.73416087179487]	[30.261860846153848, -97.73416087179487]	[30.271543435897435, -97.73416087179487]	[30.281226025641026, -97.73416087179487]	[30.290908615384616, -97.73416087179487]	[30.300591205128207, -97.73416087179487]	[30.310273794871794, -97.73416087179487]	[30.319956384615384, -97.73416087179487]	[30.329638974358975, -97.73416087179487]	[30.339321564102566, -97.73416087179487]	[30.349004153846153, -97.73416087179487]	[30.358686743589743, -97.73416087179487]	[30.368369333333334, -97.73416087179487]	[30.378051923076924, -97.73416087179487]	[30.387734512820515, -97.73416087179487]	[30.397417102564102, -97.73416087179487]	[30.407099692307693, -97.73416087179487]	[30.416782282051283, -97.73416087179487]	[30.426464871794874, -97.73416087179487]	[30.436147461538461, -97.73416087179487]	[30.445830051282051, -97.73416087179487]	[30.455512641025642, -97.73416087179487]	[30.465195230769233, -97.73416087179487]	[30.47487782051282, -97.73416087179487]	[30.48456041025641, -97.73416087179487]	[30.494243000000001, -97.73416087179487]
[30.116622, -97.725498589743594]	[30.12630458974359, -97.725498589743594]	[30.135987179487181, -97.725498589743594]	[30.145669769230768, -97.725498589743594]	[30.155352358974358, -97.725498589743594]	[30.165034948717949, -97.725498589743594]	[30.17471753846154, -97.725498589743594]	[30.184400128205127, -97.725498589743594]	[30.194082717948717, -97.725498589743594]	[30.203765307692308, -97.725498589743594]	[30.213447897435898, -97.725498589743594]	[30.223130487179485, -97.725498589743594]	[30.232813076923076, -97.725498589743594]	[30.242495666666667, -97.725498589743594]	[30.252178256410257, -97.725498589743594]	[30.261860846153848, -97.725498589743594]	[30.271543435897435, -97.725498589743594]	[30.281226025641026, -97.725498589743594]	[30.290908615384616, -97.725498589743594]	[30.300591205128207, -97.725498589743594]	[30.310273794871794, -97.725498589743594]	[30.319956384615384, -97.725498589743594]	[30.329638974358975, -97.725498589743594]	[30.339321564102566, -97.725498589743594]	[30.349004153846153, -97.725498589743594]	[30.358686743589743, -97.725498589743594]	[30.368369333333334, -97.725498589743594]	[30.378051923076924, -97.725498589743594]	[30.387734512820515, -97.725498589743594]	[30.397417102564102, -97.725498589743594]	[30.407099692307693, -97.725498589743594]	[30.416782282051283, -97.725498589743594]	[30.426464871794874, -97.725498589743594]	[30.436147461538461, -97.725498589743594]	[30.445830051282051, -97.725498589743594]	[30.455512641025642, -97.725498589743594]	[30.465195230769233, -97.725498589743594]	[30.47487782051282, -97.725498589743594]	[30.48456041025641, -97.725498589743594]	[30.494243000000001, -97.725498589743594]
[30.116622, -97.716836307692304]	[30.12630458974359, -97.716836307692304]	[30.135987179487181, -97.716836307692304]	[30.145669769230768, -97.716836307692304]	[30.155352358974358, -97.716836307692304]	[30.165034948717949, -97.716836307692304]	[30.17471753846154, -97.716836307692304]	[30.184400128205127, -97.716836307692304]	[30.194082717948717, -97.716836307692304]	[30.203765307692308, -97.716836307692304]	[30.213447897435898, -97.716836307692304]	[30.223130487179485, -97.716836307692304]	[30.232813076923076, -97.716836307692304]	[30.242495666666667, -97.716836307692304]	[30.252178256410257, -97.716836307692304]	[30.261860846153848, -97.716836307692304]	[30.271543435897435, -97.716836307692304]	[30.281226025641026, -97.716836307692304]	[30.290908615384616, -97.716836307692304]	[30.300591205128207, -97.716836307692304]	[30.310273794871794, -97.716836307692304]	[30.319956384615384, -97.716836307692304]	[30.329638974358975, -97.716836307692304]	[30.339321564102566, -97.716836307692304]	[30.349004153846153, -97.716836307692304]	[30.358686743589743, -97.716836307692304]	[30.368369333333334, -97.716836307692304]	[30.378051923076924, -97.716836307692304]	[30.387734512820515, -97.716836307692304]	[30.397417102564102, -97.716836307692304]	[30.407099692307693, -97.716836307692304]	[30.416782282051283, -97.716836307692304]	[30.426464871794874, -97.716836307692304]	[30.436147461538461, -97.716836307692304]	[30.445830051282051, -97.716836307692304]	[30.455512641025642, -97.716836307692304]	[30.465195230769233, -97.716836307692304]	[30.47487782051282, -97.716836307692304]	[30.48456041025641, -97.716836307692304]	[30.494243000000001, -97.716836307692304]
[30.116622, -97.708174025641028]	[30.12630458974359, -97.708174025641028]	[30.135987179487181, -97.708174025641028]	[30.145669769230768, -97.708174025641028]	[30.155352358974358, -97.708174025641028]	[30.165034948717949, -97.708174025641028]	[30.17471753846154, -97.708174025641028]	[30.184400128205127, -97.708174025641028]	[30.194082717948717, -97.708174025641028]	[30.203765307692308, -97.708174025641028]	[30.213447897435898, -97.708174025641028]	[30.223130487179485, -97.708174025641028]	[30.232813076923076, -97.708174025641028]	[30.242495666666667, -97.708174025641028]	[30.252178256410257, -97.708174025641028]	[30.261860846153848, -97.708174025641028]	[30.271543435897435, -97.708174025641028]	[30.281226025641026, -97.708174025641028]	[30.290908615384616, -97.708174025641028]	[30.300591205128207, -97.708174025641028]	[30.310273794871794, -97.708174025641028]	[30.319956384615384, -97.708174025641028]	[30.329638974358975, -97.708174025641028]	[30.339321564102566, -97.708174025641028]	[30.349004153846153, -97.708174025641028]	[30.358686743589743, -97.708174025641028]	[30.368369333333334, -97.708174025641028]	[30.378051923076924, -97.708174025641028]	[30.387734512820515, -97.708174025641028]	[30.397417102564102, -97.708174025641028]	[30.407099692307693, -97.708174025641028]	[30.416782282051283, -97.708174025641028]	[30.426464871794874, -97.708174025641028]	[30.436147461538461, -97.708174025641028]	[30.445830051282051, -97.708174025641028]	[30.455512641025642, -97.708174025641028]	[30.465195230769233, -97.708174025641028]	[30.47487782051282, -97.708174025641028]	[30.48456041025641, -97.708174025641028]	[30.494243000000001, -97.708174025641028]
[30.116622, -97.699511743589753]	[30.12630458974359, -97.699511743589753]	[30.135987179487181, -97.699511743589753]	[30.145669769230768, -97.699511743589753]	[30.155352358974358, -97.699511743589753]	[30.165034948717949, -97.699511743589753]	[30.17471753846154, -97.699511743589753]	[30.184400128205127, -97.699511743589753]	[30.194082717948717, -97.699511743589753]	[30.203765307692308, -97.699511743589753]	[30.213447897435898, -97.699511743589753]	[30.223130487179485, -97.699511743589753]	[30.232813076923076, -97.699511743589753]	[30.242495666666667, -97.699511743589753]	[30.252178256410257, -97.699511743589753]	[30.261860846153848, -97.699511743589753]	[30.271543435897435, -97.699511743589753]	[30.281226025641026, -97.699511743589753]	[30.290908615384616, -97.699511743589753]	[30.300591205128207, -97.699511743589753]	[30.310273794871794, -97.699511743589753]	[30.319956384615384, -97.699511743589753]	[30.329638974358975, -97.699511743589753]	[30.339321564102566, -97.699511743589753]	[30.349004153846153, -97.699511743589753]	[30.358686743589743, -97.699511743589753]	[30.368369333333334, -97.699511743589753]	[30.378051923076924, -97.699511743589753]	[30.387734512820515, -97.699511743589753]	[30.397417102564102, -97.699511743589753]	[30.407099692307693, -97.699511743589753]	[30.416782282051283, -97.699511743589753]	[30.426464871794874, -97.699511743589753]	[30.436147461538461, -97.699511743589753]	[30.445830051282051, -97.699511743589753]	[30.455512641025642, -97.699511743589753]	[30.465195230769233, -97.699511743589753]	[30.47487782051282, -97.699511743589753]	[30.48456041025641, -97.699511743589753]	[30.494243000000001, -97.699511743589753]
[30.116622, -97.690849461538463]	[30.12630458974359, -97.690849461538463]	[30.135987179487181, -97.690849461538463]	[30.145669769230768, -97.690849461538463]	[30.155352358974358, -97.690849461538463]	[30.165034948717949, -97.690849461538463]	[30.17471753846154, -97.690849461538463]	[30.184400128205127, -97.690849461538463]	[30.194082717948717, -97.690849461538463]	[30.203765307692308, -97.690849461538463]	[30.213447897435898, -97.690849461538463]	[30.223130487179485, -97.690849461538463]	[30.232813076923076, -97.690849461538463]	[30.242495666666667, -97.690849461538463]	[30.252178256410257, -97.690849461538463]	[30.261860846153848, -97.690849461538463]	[30.271543435897435, -97.690849461538463]	[30.281226025641026, -97.690849461538463]	[30.290908615384616, -97.690849461538463]	[30.300591205128207, -97.690849461538463]	[30.310273794871794, -97.690849461538463]	[30.319956384615384, -97.690849461538463]	[30.329638974358975, -97.690849461538463]	[30.339321564102566, -97.690849461538463]	[30.349004153846153, -97.690849461538463]	[30.358686743589743, -97.690849461538463]	[30.368369333333334, -97.690849461538463]	[30.378051923076924, -97.690849461538463]	[30.387734512820515, -97.690849461538463]	[30.397417102564102, -97.690849461538463]	[30.407099692307693, -97.690849461538463]	[30.416782282051283, -97.690849461538463]	[30.426464871794874, -97.690849461538463]	[30.436147461538461, -97.690849461538463]	[30.445830051282051, -97.690849461538463]	[30.455512641025642, -97.690849461538463]	[30.465195230769233, -97.690849461538463]	[30.47487782051282, -97.690849461538463]	[30.48456041025641, -97.690849461538463]	[30.494243000000001, -97.690849461538463]
